round,client_id,type,loss,accuracy
0,global,test,2.3093511894226073,5.35
1,4,train_epoch_1,1.7350864124298095,39.03333333333333
1,4,train_epoch_2,0.8363689290682474,68.0
1,0,train_epoch_1,1.7331602471669516,35.13333333333333
1,0,train_epoch_2,0.8385550740559896,68.13333333333334
1,13,train_epoch_1,1.7067589686711628,39.166666666666664
1,13,train_epoch_2,0.8172027082443237,69.13333333333334
1,11,train_epoch_1,1.7218642924626668,41.43333333333333
1,11,train_epoch_2,0.8384665772120158,67.96666666666667
1,16,train_epoch_1,1.721786774635315,38.333333333333336
1,16,train_epoch_2,0.873428288936615,66.1
1,15,train_epoch_1,1.6937920357386271,41.96666666666667
1,15,train_epoch_2,0.8504602238337199,67.9
1,6,train_epoch_1,1.7179724028905232,39.666666666666664
1,6,train_epoch_2,0.8665515685081482,66.93333333333334
1,9,train_epoch_1,1.7106184622446696,40.53333333333333
1,9,train_epoch_2,0.8227603898048401,69.66666666666667
1,10,train_epoch_1,1.7468371286392212,40.2
1,10,train_epoch_2,0.9248573705355326,65.3
1,5,train_epoch_1,1.715007979551951,40.1
1,5,train_epoch_2,0.8608965512911478,67.8
1,global,test,0.6983019723892212,73.55
2,17,train_epoch_1,0.7366367834409078,71.7
2,17,train_epoch_2,0.6311940960884094,76.06666666666666
2,4,train_epoch_1,0.7075649088223775,72.93333333333334
2,4,train_epoch_2,0.6380134483973185,75.2
2,2,train_epoch_1,0.6881573942502339,73.73333333333333
2,2,train_epoch_2,0.6217524792353312,76.6
2,0,train_epoch_1,0.6962734274864196,73.1
2,0,train_epoch_2,0.6415329111417135,74.96666666666667
2,7,train_epoch_1,0.693082274278005,74.16666666666667
2,7,train_epoch_2,0.6249245292345683,76.43333333333334
2,12,train_epoch_1,0.6860378142992656,74.2
2,12,train_epoch_2,0.6306953317324321,76.4
2,13,train_epoch_1,0.6626157738367716,74.8
2,13,train_epoch_2,0.5938384652137756,77.3
2,10,train_epoch_1,0.7324124484062194,71.56666666666666
2,10,train_epoch_2,0.662113832950592,74.33333333333333
2,14,train_epoch_1,0.6859509733517964,72.93333333333334
2,14,train_epoch_2,0.6153180813789367,76.46666666666667
2,6,train_epoch_1,0.6721177676518758,74.03333333333333
2,6,train_epoch_2,0.6162895358403524,75.83333333333333
2,global,test,0.5829776236534119,77.76
3,18,train_epoch_1,0.5874998164176941,77.56666666666666
3,18,train_epoch_2,0.5443228902816772,79.1
3,10,train_epoch_1,0.6364007131258647,75.53333333333333
3,10,train_epoch_2,0.5838428152402242,77.36666666666666
3,16,train_epoch_1,0.5927545239130656,76.66666666666667
3,16,train_epoch_2,0.5706774600346883,78.6
3,3,train_epoch_1,0.5922645522753398,76.7
3,3,train_epoch_2,0.5486917312939962,78.33333333333333
3,19,train_epoch_1,0.5849329651196797,78.06666666666666
3,19,train_epoch_2,0.572552685101827,77.66666666666667
3,8,train_epoch_1,0.5549297779401143,79.16666666666667
3,8,train_epoch_2,0.530055985212326,80.33333333333333
3,14,train_epoch_1,0.5904571811358134,76.8
3,14,train_epoch_2,0.5582954678535461,78.1
3,4,train_epoch_1,0.5920893495877584,77.26666666666667
3,4,train_epoch_2,0.5569477517604828,78.6
3,2,train_epoch_1,0.5845251399676005,78.0
3,2,train_epoch_2,0.5404926742712657,80.2
3,17,train_epoch_1,0.6196156994501749,76.76666666666667
3,17,train_epoch_2,0.5677993909517924,78.66666666666667
3,global,test,0.5255284951686859,80.52
4,8,train_epoch_1,0.5230462918281555,81.06666666666666
4,8,train_epoch_2,0.4664679590861003,82.43333333333334
4,1,train_epoch_1,0.5185392240683238,79.43333333333334
4,1,train_epoch_2,0.4915308073361715,81.13333333333334
4,19,train_epoch_1,0.5565507734616597,78.8
4,19,train_epoch_2,0.506986937046051,81.36666666666666
4,11,train_epoch_1,0.5320713699658711,79.63333333333334
4,11,train_epoch_2,0.49662348548571267,80.96666666666667
4,5,train_epoch_1,0.535417431751887,79.26666666666667
4,5,train_epoch_2,0.4976666427453359,80.96666666666667
4,10,train_epoch_1,0.5787505962053935,77.83333333333333
4,10,train_epoch_2,0.537174782594045,78.93333333333334
4,2,train_epoch_1,0.5375366466840108,80.06666666666666
4,2,train_epoch_2,0.503539962609609,81.83333333333333
4,14,train_epoch_1,0.5349657828013102,79.5
4,14,train_epoch_2,0.4985688962141673,80.93333333333334
4,12,train_epoch_1,0.5436930300394694,79.46666666666667
4,12,train_epoch_2,0.5027958219846089,81.1
4,3,train_epoch_1,0.5240973484516144,80.03333333333333
4,3,train_epoch_2,0.502035373210907,80.73333333333333
4,global,test,0.4806495481491089,82.19
5,0,train_epoch_1,0.5018581086794536,81.9
5,0,train_epoch_2,0.49396675411860147,82.2
5,18,train_epoch_1,0.4655824874242147,82.23333333333333
5,18,train_epoch_2,0.4258684160709381,84.26666666666667
5,9,train_epoch_1,0.4831019508043925,83.33333333333333
5,9,train_epoch_2,0.46500483655929564,83.0
5,11,train_epoch_1,0.48566020727157594,81.66666666666667
5,11,train_epoch_2,0.46200423765182497,82.56666666666666
5,10,train_epoch_1,0.5219844977855682,80.13333333333334
5,10,train_epoch_2,0.4904497021039327,81.2
5,6,train_epoch_1,0.4572880031267802,83.86666666666666
5,6,train_epoch_2,0.4369071372350057,83.13333333333334
5,7,train_epoch_1,0.4865910347302755,82.53333333333333
5,7,train_epoch_2,0.46853479512532553,82.83333333333333
5,8,train_epoch_1,0.4509869287808736,83.93333333333334
5,8,train_epoch_2,0.4322188792228699,83.4
5,13,train_epoch_1,0.4648143436908722,82.8
