round,client_id,type,loss,accuracy
0,global,test,2.303779186630249,9.3
1,2,train_epoch_1,1.7827169607480366,38.766666666666666
1,2,train_epoch_2,0.8082540256977081,69.7
1,18,train_epoch_1,1.8040077540079753,38.03333333333333
1,18,train_epoch_2,0.8177610244750977,69.7
1,6,train_epoch_1,1.7992133537928263,38.3
1,6,train_epoch_2,0.8782185015678405,66.23333333333333
1,1,train_epoch_1,1.7889271359443664,38.7
1,1,train_epoch_2,0.8426027720769247,68.36666666666666
1,19,train_epoch_1,1.7875048249562582,40.96666666666667
1,19,train_epoch_2,0.8219780249595642,68.6
1,0,train_epoch_1,1.8131465069452921,36.266666666666666
1,0,train_epoch_2,0.8645465915997823,67.16666666666667
1,14,train_epoch_1,1.8045324096679687,38.86666666666667
1,14,train_epoch_2,0.8800366121927897,66.03333333333333
1,15,train_epoch_1,1.798690468152364,39.46666666666667
1,15,train_epoch_2,0.8642821766535441,67.83333333333333
1,8,train_epoch_1,1.7773475646972656,39.06666666666667
1,8,train_epoch_2,0.8530772633552551,67.0
1,17,train_epoch_1,1.814984081586202,35.833333333333336
1,17,train_epoch_2,0.9516071033477783,63.46666666666667
1,global,test,2.132909722518921,15.78
2,15,train_epoch_1,0.9491324642499288,65.3
2,15,train_epoch_2,0.6312380917867024,76.1
2,12,train_epoch_1,0.9844168187777201,64.53333333333333
2,12,train_epoch_2,0.6002182753880819,78.1
2,19,train_epoch_1,0.9628169442812602,64.86666666666666
2,19,train_epoch_2,0.590233712832133,78.4
2,2,train_epoch_1,0.9676126108169556,63.8
2,2,train_epoch_2,0.5536876494089762,79.86666666666666
2,0,train_epoch_1,0.9586039031346639,65.43333333333334
2,0,train_epoch_2,0.6186278652350108,76.73333333333333
2,10,train_epoch_1,1.0046381158828734,64.2
2,10,train_epoch_2,0.5710162334442138,78.5
2,9,train_epoch_1,0.9849050928751628,65.33333333333333
2,9,train_epoch_2,0.5869184517860413,77.93333333333334
2,8,train_epoch_1,0.9868547339439392,64.23333333333333
2,8,train_epoch_2,0.6368271117210388,76.2
2,14,train_epoch_1,0.9766478393872579,65.5
2,14,train_epoch_2,0.5978922375043233,77.26666666666667
2,11,train_epoch_1,0.9563248457908631,66.0
2,11,train_epoch_2,0.6190989540417989,77.1
2,global,test,1.9745950952529907,28.01
3,15,train_epoch_1,0.9091039099693299,67.2
3,15,train_epoch_2,0.5383560852209727,80.33333333333333
3,17,train_epoch_1,0.9076643622716268,67.3
3,17,train_epoch_2,0.5418676648139954,79.66666666666667
3,16,train_epoch_1,0.9166733120282491,68.33333333333333
3,16,train_epoch_2,0.536729585091273,79.53333333333333
3,3,train_epoch_1,0.8617642784118652,69.86666666666666
3,3,train_epoch_2,0.5258622794151306,80.73333333333333
3,10,train_epoch_1,0.8460296932856242,70.4
3,10,train_epoch_2,0.5297319237391154,80.86666666666666
3,19,train_epoch_1,0.8362387286822001,70.53333333333333
3,19,train_epoch_2,0.523143706480662,81.0
3,4,train_epoch_1,0.8238241790135702,69.5
3,4,train_epoch_2,0.5256269141832988,79.8
3,2,train_epoch_1,0.8673509685198466,70.13333333333334
3,2,train_epoch_2,0.5068724676767985,81.76666666666667
3,6,train_epoch_1,0.827096080382665,70.43333333333334
3,6,train_epoch_2,0.500836535135905,80.9
3,5,train_epoch_1,0.9072310264905293,66.53333333333333
3,5,train_epoch_2,0.5556837318738301,79.56666666666666
3,global,test,1.930346036529541,47.68
4,7,train_epoch_1,0.7606496438980103,73.63333333333334
4,7,train_epoch_2,0.4793065124352773,82.23333333333333
4,8,train_epoch_1,0.7939409359296163,72.26666666666667
4,8,train_epoch_2,0.49884140674273175,82.06666666666666
4,3,train_epoch_1,0.8008767889340719,73.06666666666666
4,3,train_epoch_2,0.514820808728536,81.63333333333334
4,9,train_epoch_1,0.8230836008389791,70.7
4,9,train_epoch_2,0.5110808154741923,81.2
4,0,train_epoch_1,0.8126161392529806,71.33333333333333
4,0,train_epoch_2,0.5092192421754201,81.7
4,4,train_epoch_1,0.8302474884986878,70.96666666666667
4,4,train_epoch_2,0.4919945331414541,82.1
4,2,train_epoch_1,0.8038052436510722,72.26666666666667
4,2,train_epoch_2,0.4920929671128591,83.13333333333334
4,12,train_epoch_1,0.8229223837852478,70.6
4,12,train_epoch_2,0.4973467764854431,81.76666666666667
4,11,train_epoch_1,0.8240037503242492,70.73333333333333
4,11,train_epoch_2,0.5220608132680257,80.7
4,19,train_epoch_1,0.8023656482696533,72.43333333333334
4,19,train_epoch_2,0.5034282329877218,81.03333333333333
4,global,test,2.396851456069946,50.27
5,9,train_epoch_1,0.9131964313189188,69.5
5,9,train_epoch_2,0.5151838143666585,80.7
5,16,train_epoch_1,0.819677602450053,72.6
5,16,train_epoch_2,0.4966089865366618,81.2
5,19,train_epoch_1,0.8154443519910176,71.53333333333333
5,19,train_epoch_2,0.5028650055726369,81.46666666666667
5,5,train_epoch_1,0.8496725934346517,71.33333333333333
5,5,train_epoch_2,0.49927797547976177,82.33333333333333
5,14,train_epoch_1,0.8807020584742228,70.63333333333334
5,14,train_epoch_2,0.5238753124078115,81.26666666666667
5,13,train_epoch_1,0.9141696723302205,69.66666666666667
5,13,train_epoch_2,0.5043902976512908,81.46666666666667
5,11,train_epoch_1,0.8914046794573466,69.76666666666667
5,11,train_epoch_2,0.5139094033241272,82.0
5,3,train_epoch_1,0.916281108379364,69.66666666666667
5,3,train_epoch_2,0.4946105089187622,82.2
5,15,train_epoch_1,0.865987476348877,70.53333333333333
5,15,train_epoch_2,0.4883178158601125,82.33333333333333
